,Year,Month,Day,Trial,Ablation,Darkness,Flow,Species,Fish,Tailbeat_Num,X_Distance,Y_Distance,Z_Distance,Distance,Angle,Yaw_Heading_Diff,Pitch_Heading_Diff,Fish1_Speed,Fish2_Speed,Fish1_Accel,Fish2_Accel,Fish1_X,Fish1_Y,Fish1_Z,Fish2_X,Fish2_Y,Fish2_Z,Relative_X,Fish1_Yaw_Heading,Fish2_Yaw_Heading,Fish1_Yaw_Heading_PS,Fish2_Yaw_Heading_PS,Speed_Diff,Fish1_Speed_SD,Fish1_Speed_CV
0,2024,04,02,02,Y,N,0,Cherry Barb,individual2xindividual1,1,-1.3100807614593333,2.2780745652816896,-1.07886827289454,2.840755546819837,2.464853873782921,2.0243196482767156,0.39770264741524214,0.8236833788733762,2.416857630772388,,0.07718858681907012,14.00441885270009,3.2801673322161347,0.07397708480466343,15.347706211947601,5.532256806324393,1.0671074722769613,-2.048522799314668,-1.415952465427352,2.8629600604038634,,0.5436262562371081,0.7699340365555069,2.7920960095095015,1.1163588692246897
1,2024,04,02,02,Y,N,0,Cherry Barb,individual2xindividual1,2,-1.2164241000928233,2.273796415052087,-0.9269938933059478,2.7402838186247926,2.652472373229903,1.5623679719435979,0.26442020646216796,1.0587768379816402,2.7364908240011605,0.307477289734964,-0.17008455541203,13.95832571916551,3.200043842224671,0.09838951982175452,15.174749819258334,5.473840257276758,1.0253834131277024,-2.2682889781098403,-1.572275037542026,-3.136283996625168,-0.35880868136940874,0.6821905389471304,-1.6777139860195203,2.7920960095095015,1.1163588692246897
2,2024,04,02,02,Y,N,0,Cherry Barb,individual2xindividual1,3,-0.9114301821556361,2.323185616536641,-0.8366715811658624,2.6320934103024483,2.840315828958872,1.3449720934211362,0.7389366066275229,0.3964352124587512,3.6521143739769384,-0.6332199398624359,-0.023856552811328695,13.945672066767145,3.071739446064808,0.10363704925535033,14.857102248922777,5.394925062601449,0.9403086304212129,-2.3829022106315505,-1.6431979636279777,-2.988171238775874,0.5087105428587969,0.06367956897835214,-3.2556791615181875,2.7920960095095015,1.1163588692246897
3,2024,04,02,02,Y,N,0,Cherry Barb,individual2xindividual1,4,-0.6101730209636425,2.4980327992742417,-0.6887168360129465,2.6621062829965085,2.5807406980127023,1.8474769645370641,0.8700960692514242,3.6620111348696214,2.889607666752977,-0.9164298059705939,0.3124470954757314,14.05062924044219,2.9069934409279172,0.1922707730104277,14.660802261405832,5.405026240202159,0.8809876090233743,-2.15852164784486,-1.2500916937314546,-3.095953602938882,0.8528016636094788,-0.22610726673586107,0.7724034681166441,2.7920960095095015,1.1163588692246897
4,2024,04,02,02,Y,N,0,Cherry Barb,individual2xindividual1,5,-0.31827184717455176,2.74735142880037,-0.3800888832587135,2.7917206882516368,2.558361807234957,2.027945540372596,0.5905349504109401,2.4793300324215353,1.8498222975639775,0.06220532381234589,-0.003540992480169267,14.162661819148,2.6698136341439196,0.38671882469464725,14.480933666322551,5.41716506294429,0.7668077079533607,-2.303138836045736,-1.1030902433419743,-3.1313725077085857,-0.6604983852645814,0.6733258542850881,0.6295077348575583,2.7920960095095015,1.1163588692246897
5,2024,04,02,02,Y,N,0,Cherry Barb,individual2xindividual1,6,-0.23469403959087162,2.9467024960441734,-0.41095132453878835,2.984462746216248,-3.12376679024572,1.0030988968606958,0.3621765815073986,3.078304232820763,2.9137859008106592,0.19620277291906793,-0.06743098391829298,14.046131961603512,2.3160403816976465,0.29499456384931844,14.280826001194384,5.26274287774182,0.7059458883881067,-2.7203651341653403,-1.6684073377323563,-2.669513895224993,-0.2961187884378677,0.7225421370399447,0.16451833201010374,2.7920960095095015,1.1163588692246897
6,2024,04,02,02,Y,N,0,Cherry Barb,individual2xindividual1,7,-0.12287500858954371,3.383184461880333,-0.6361519124702074,3.444666112496812,2.8223831346335633,1.3827801032248552,0.43717918847143966,1.7198065801192384,2.0909857955630127,0.03380200915748833,0.3189896951303823,14.020589566735156,1.8463827000005488,0.1406379650691367,14.1434645753247,5.229567161880882,0.7767898775393441,-2.913841464139683,-1.290632142685957,-2.6737624875832875,1.8444497596033915,0.22214186810222264,-0.371179215443774,2.7920960095095015,1.1163588692246897
7,2024,04,02,02,Y,N,0,Cherry Barb,individual2xindividual1,8,0.24448492003883662,3.4887500728496437,-0.3548280129255431,3.515259999728538,2.1409376650295395,2.0282912857671844,0.2493593906608699,2.838520101686253,1.5789543771040537,-0.183287081622652,0.5113159816294037,14.319846635443254,1.719041491255787,0.43604739292331224,14.075361715404417,5.207791564105431,0.7908754058488552,-1.8875929145810821,-0.5002558233168749,-2.5288240454269197,1.8009482940088848,1.0314932417547202,1.2595657245821992,2.7920960095095015,1.1163588692246897
8,2024,04,02,02,Y,N,0,Cherry Barb,individual2xindividual1,9,0.3813377539320649,3.3649804718226366,-0.20605617888744732,3.3927822221857005,1.8339389366749173,1.870598125284683,0.382489590025462,2.414979009599241,0.8402320977765725,0.7093892705727316,0.9750154117456136,14.454624038306214,1.7365653597278392,0.5944480894943301,14.073286284374145,5.101545831550475,0.8005042683817776,-0.8697704900301918,-0.15003155648032976,-2.0204834344719647,1.1146316239540057,1.0728370442907558,1.574746911822669,2.7920960095095015,1.1163588692246897
9,2024,04,02,02,Y,N,0,Cherry Barb,individual2xindividual1,10,0.45801935812458167,3.2400620577980104,-0.3315442635450355,3.289028043280986,1.5055590067554243,2.1090159349017386,0.49581332312796833,0.7634544824414459,0.0706117105521617,,-0.3563587049679622,14.54355658703637,1.8478020442147416,0.6316868487443691,14.0852552694106,5.0832405943457415,0.9608985700097122,0.21298505093705836,0.2056775385206619,-1.8493605840427745,,0.9065260781733021,0.6533767252451952,2.7920960095095015,1.1163588692246897
